SUMMARY OF FIRST DEGREES GRADUATES                                                             2021/2022,,,
"All Colleges, Faculties & Schools",Male,Female,Total
Total for All Full-Time Courses:,3582,3855,7437
Total for All Part-Time Courses:,119,104,223
Grand Total:,3701,3959,7660
FULL-TIME DEGREES                                                                                                 2021/2022,,,
College of Design Engineering,Male,Female,Total
Bachelor of Arts (Architecture),71,67,138
Bachelor of Arts (Industrial Design),15,30,45
Bachelor of Engineering (Biomedical Engineering),62,92,154
Bachelor of Engineering (Chemical Engineering),170,82,252
Bachelor of Engineering (Civil Engineering),82,32,114
Bachelor of Engineering (Electrical Engineering),142,44,186
Bachelor of Engineering (Engineering Science),23,6,29
Bachelor of Engineering (Environmental Engineering),17,17,34
Bachelor of Engineering (Industrial and Systems Engineering),52,38,90
Bachelor of Engineering (Materials Science and Engineering),51,45,96
Bachelor of Engineering (Mechanical Engineering),295,52,347
Bachelor of Science (Project and Facilities Management),54,118,172
Sub Total:,1034,623,1657
Total for College of Design and Engineering:,1034,623,1657
Faculty of Arts & Social Sciences,Male,Female,Total
Bachelor of Environmental Studies (Hons),7,10,17
Bachelor of Arts,139,221,360
Bachelor of Social Sciences with Honours,342,897,1239
Sub Total:,488,1128,1616
Total for Faculty of Arts & Social Sciences:,488,1128,1616
School of Business,Male,Female,Total
Bachelor of Business Administration,265,402,667
Bachelor of Business Administration (Accountancy),86,110,196
Bachelor of Science (Real Estate),52,84,136
Sub Total:,403,596,999
Total for School of Business:,403,596,999
School of Computing,Male,Female,Total
Bachelor of Computing (Computer Science),342,109,451
Bachelor of Computing (Information Security),47,20,67
Bachelor of Computing (Information Systems),78,39,117
Bachelor of Science (Business Analytics),74,74,148
Sub Total:,541,242,783
Total for School of Computing:,541,242,783
Faculty of Dentistry,Male,Female,Total
Bachelor of Dental Surgery,26,34,60
Sub Total:,26,34,60
Total for Faculty of Dentistry:,26,34,60
Joint Multi-Disciplinary Programmes,Male,Female,Total
Bachelor of Engineering (Computer Engineering),120,32,152
Sub Total:,120,32,152
,,,
Total for Joint Multi-Disciplinary Programmes:,120,32,152
,,,
Faculty of Law,Male,Female,Total
Bachelor of Laws,139,102,241
Sub Total:,139,102,241
,,,
Total for Faculty of Law:,139,102,241
,,,
Faculty of Science,Male,Female,Total
Bachelor of Environmental Studies (Hons),8,21,29
Bachelor of Science,372,370,742
Bachelor of Science (Computational Biology),5,6,11
Bachelor of Science (Data Science and Analytics),45,42,87
Bachelor of Science (Pharmacy),61,100,161
Bachelor of Science (Pharmaceutical Science),10,16,26
Sub Total:,501,555,1056
,,,
Total for Faculty of Science:,501,555,1056
,,,
Yale-NUS College,Male,Female,Total
Bachelor of Arts with Honours,80,100,180
Bachelor of Science with Honours,23,21,44
Sub Total:,103,121,224
,,,
Total for Yale-NUS College:,103,121,224
,,,
Yong Loo Lin School of Medicine,Male,Female,Total
Bachelor of Medicine and Bachelor of Surgery,153,151,304
Bachelor of Science (Nursing),57,248,305
Sub Total:,210,399,609
,,,
Total for Yong Loo Lin School of Medicine:,210,399,609
,,,
Yong Siew Toh Conservatory of Music,Male,Female,Total
Bachelor of Music,17,23,40
Sub Total:,17,23,40
,,,
Total for Yong Siew Toh Conservatory of Music:,17,23,40
PART-TIME DEGREES                                                                                                 2021/2022,,,
College of Design and Engineering,Male,Female,Total
Bachelor of Technology (Chemical Engineering),0,1,1
Bachelor of Technology (Electronics Engineering),1,1,2
Bachelor of Technology (Mechanical Engineering),4,0,4
Sub Total:,5,2,7
Total for College of Design and Engineering:,5,2,7
School of Continuing and Lifelong Education,Male,Female,Total
Bachelor of Technology (Business Analytics),5,0,5
Bachelor of Technology (Chemical Engineering),8,6,14
Bachelor of Technology (Civil Engineering),17,12,29
Bachelor of Technology (CyberSecurity),5,2,7
Bachelor of Technology (Electronics Engineering),24,14,38
Bachelor of Technology (Industrial and Management Engineering),13,10,23
Bachelor of Technology (Mechanical Engineering),33,15,48
Bachelor of Technology (Software Engineering),4,1,5
Bachelor of Technology (Supply Chain Management),2,13,15
Sub Total:,111,73,184
Total for School of Continuing and Lifelong Education:,111,73,184
Yong Loo Lin School of Medicine,Male,Female,Total
Bachelor of Science (Nursing Practice),3,29,32
Sub Total:,3,29,32
Total for Yong Loo Lin School of Medicine:,3,29,32
